"시군구별(1)","시군구별(2)",종류별(1),2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015
"시군구별(1)","시군구별(2)",종류별(1),의사,의사,치과의사,치과의사,한의사,한의사,간호사,간호사,약사,약사,간호조무사,간호조무사,임상병리사,임상병리사,방사선사,방사선사,물리치료사,물리치료사,작업치료사,작업치료사
"시군구별(1)","시군구별(2)",종류별(1),인력수 (명),인구백만명당 인력수 (명),인력수 (명),인구백만명당 인력수 (명),인력수 (명),인구백만명당 인력수 (명),인력수 (명),인구백만명당 인력수 (명),인력수 (명),인구백만명당 인력수 (명),인력수 (명),인구백만명당 인력수 (명),인력수 (명),인구백만명당 인력수 (명),인력수 (명),인구백만명당 인력수 (명),인력수 (명),인구백만명당 인력수 (명),인력수 (명),인구백만명당 인력수 (명)
"서울","종로구",전체,2296,14814.2,413,2664.8,149,961.4,3136,20234.1,407,2626.0,656,4232.6,393,2535.7,295,1903.4,148,954.9,29,187.1
"서울","종로구",상급종합,1916,12362.4,6,38.7,-,-,2640,17033.8,128,825.9,90,580.7,269,1735.6,178,1148.5,30,193.6,10,64.5
"서울","종로구",종합병원,87,561.3,4,25.8,-,-,230,1484.0,4,25.8,20,129.0,30,193.6,26,167.8,11,71.0,1,6.5
"서울","종로구",병원,33,212.9,4,25.8,1,6.5,30,193.6,2,12.9,9,58.1,4,25.8,5,32.3,23,148.4,15,96.8
"서울","종로구",의원,251,1619.5,-,-,-,-,168,1084.0,-,-,274,1767.9,80,516.2,75,483.9,82,529.1,3,19.4
"서울","종로구",치과병원,4,25.8,212,1367.9,-,-,31,200.0,3,19.4,38,245.2,4,25.8,6,38.7,-,-,-,-
"서울","종로구",치과의원,-,-,186,1200.1,-,-,4,25.8,-,-,125,806.5,-,-,2,12.9,-,-,-,-
"서울","종로구",보건소,5,32.3,1,6.5,1,6.5,24,154.9,-,-,-,-,6,38.7,3,19.4,2,12.9,-,-
"서울","중구",전체,881,7006.9,273,2171.3,123,978.3,1339,10649.6,263,2091.7,759,6036.6,185,1471.4,167,1328.2,127,1010.1,2,15.9
"서울","중구",종합병원,483,3841.5,7,55.7,-,-,1006,8001.1,36,286.3,127,1010.1,125,994.2,69,548.8,11,87.5,2,15.9
"서울","중구",병원,47,373.8,-,-,-,-,87,691.9,1,8.0,53,421.5,10,79.5,12,95.4,7,55.7,-,-
"서울","중구",의원,344,2736.0,-,-,-,-,196,1558.9,1,8.0,388,3085.9,44,349.9,82,652.2,106,843.1,-,-
"서울","중구",치과병원,-,-,15,119.3,-,-,-,-,-,-,-,-,1,8.0,-,-,-,-,-,-
"서울","중구",치과의원,-,-,250,1988.3,-,-,6,47.7,-,-,122,970.3,-,-,-,-,-,-,-,-
"서울","중구",보건소,7,55.7,1,8.0,2,15.9,23,182.9,-,-,-,-,5,39.8,4,31.8,3,23.9,-,-
"서울","용산구",전체,520,2228.5,133,570.0,74,317.1,553,2369.9,164,702.8,436,1868.5,93,398.5,75,321.4,56,240.0,6,25.7
"서울","용산구",종합병원,337,1444.2,5,21.4,-,-,360,1542.8,12,51.4,107,458.6,59,252.8,31,132.9,6,25.7,2,8.6
"서울","용산구",병원,19,81.4,-,-,-,-,102,437.1,4,17.1,22,94.3,13,55.7,13,55.7,7,30.0,4,17.1
